;tsne1;tsne2
292;-4.877554;38.605396
293;-3.1996412;40.406193
294;-3.1022573;40.364803
295;-3.8660302;40.450924
296;-3.8478742;40.252834
297;-3.8952763;40.943882
298;-4.2146964;40.94095
299;-4.3367515;40.414555
300;-8.418595;3.753509
301;-8.719062;3.9127333
302;-8.3125105;3.6802309
303;-7.272417;3.495071
304;-7.3553934;3.445059
305;-6.273362;3.1889412
306;-6.2900248;3.103818
307;-8.595364;1.0662372
308;-8.748166;1.0112861
309;-9.410988;2.194492
310;-9.448853;2.3413541
311;-8.31464;2.8113327
312;-8.064197;3.034309
313;-8.458629;0.3067221
314;-8.379161;-0.2343158
315;-8.293863;-0.9774854
316;6.7258825;0.7960274
317;6.627675;0.74744654
318;7.097109;1.098323
319;7.495285;1.3021337
320;7.457408;1.427747
321;-7.674231;4.342628
322;-9.97388;6.289536
323;-9.873348;6.220642
324;-9.570021;6.323873
325;6.5883956;-12.9415245
326;6.5412936;-12.810394
327;6.766569;-12.917418
328;7.436492;-12.42491
329;7.602927;-12.459683
330;7.6132884;-12.433451
331;6.6923285;-11.598462
332;6.726581;-11.780294
333;6.703503;-11.623053
334;6.491956;-12.433028
335;6.2426987;-12.614347
336;5.7455115;-3.6118748
337;4.5059795;-5.6522493
338;4.2193804;-6.4506125
339;4.5900016;-6.2524915
340;5.0296702;-6.9653296
341;5.6737523;-7.7656426
342;5.7006135;-7.7857804
343;6.535207;-4.9581633
344;5.9131985;-4.1859202
345;5.8971715;-4.3389034
346;5.8380075;-4.1035686
347;6.2120233;-5.2820487
348;6.3179865;-5.6354117
349;6.3524694;-5.993637
350;28.690023;-4.7487574
351;28.654482;-4.8341784
352;29.394987;-4.577324
353;29.158188;-4.4879746
354;29.331442;-5.1691732
355;29.235407;-4.9772696
356;29.071892;-5.2435603
357;28.846424;-5.3649707
358;27.352074;-5.097727
359;27.078106;-5.303971
360;26.306377;-5.1683736
361;25.511566;-4.589785
362;25.269552;-4.422077
363;22.97196;-5.736742
364;26.794737;-5.7771487
365;23.217628;-5.7660794
366;24.212389;-5.9740434
367;23.192734;-6.3558764
368;22.813917;-6.024878
369;23.139862;-5.454718
370;23.109688;-6.1083217
371;22.776312;-5.6313233
372;25.356602;-5.640667
373;26.291708;-5.460907
374;27.407663;-5.3925776
375;-6.6128364;-10.068266
376;-6.9231944;-11.298718
377;-6.68699;-11.270265
378;-6.2984624;-11.1774845
379;-6.0961905;-11.260914
380;-6.5554314;-10.520698
381;-7.0432296;-10.614429
382;-7.238967;-10.448467
383;-6.977268;-10.322815
384;-3.8899915;-10.784744
385;-4.086508;-10.958341
386;-4.94715;-8.4350815
387;-4.925108;-8.472242
388;-2.8050923;-9.097128
389;-4.1448164;-11.056164
390;-3.5308967;-9.9968
391;-4.0341024;-10.358968
392;-4.1537576;-10.523124
393;-3.5812397;-11.882105
